I,J,DL,Z,R,Q(I->J),"E""corr","E""uncorr","E""IJ-E""I-E""J",corr/uncorr,"dDIJ*VIJ,unc",Gsol,"tot,corr"
13,7,C1,0,6.18,0,-463.6366907,-461.3279332,0.0000037,0.00000399,-0.00000025,0,0.002
13,8,N1,0,8.35,0,-461.3287303,-461.3287303,0.00000102,0.00000102,-0.00000003,0,0.001
13,9,C1,0,1.18,0,-463.6419009,-461.328576,-0.0040885,0.00012622,0.00003113,0,-2.546
13,10,C1,0,3.09,0,-463.6366052,-461.3278373,0.00007745,0.0001057,-0.00000658,0,0.044
13,11,C1,0,5.26,0,-463.6366796,-461.3279281,0.00000647,0.00000742,-0.00000059,0,0.004
13,12,N1,0,7.59,0,-461.3286913,-461.3286913,0.0000008,0.0000008,-0.00000005,0,0
14,1,C1,0,5.19,0,-463.6368784,-461.3275777,0.00000812,0.00000903,-0.00000163,0,0.004
14,2,C1,0,4.8,0,-463.6363097,-461.3272172,-0.00000821,-0.00000638,-0.00000127,0,-0.006
14,3,C1,0,5.64,0,-463.6363475,-461.3272487,-0.00000838,-0.00000742,0.00000035,0,-0.005
14,4,N1,0,7.26,0,-461.3280129,-461.3280129,-0.00000005,-0.00000005,0.00000019,0,0
14,5,C1,0,3.59,0,-463.6365851,-461.3276258,0.00002609,0.00003346,-0.00000218,0,0.015
14,6,C1,0,2.99,0,-463.6355851,-461.3269761,-0.00007578,-0.00005084,0.00000574,0,-0.044
14,7,C1,0,4.17,0,-463.6355156,-461.3269165,-0.00000678,-0.00000241,0.00000179,0,-0.003
14,8,C1,0,6.18,0,-463.6365937,-461.3277034,0.00000432,0.00000477,0.00000001,0,0.003
14,9,C1,0,2.32,0,-463.6367013,-461.3276756,-0.00007453,0.00000344,0.00000992,0,-0.041
14,10,C1,0,1.18,0,-463.639869,-461.3271061,-0.004372,-0.00018626,0.00008854,0,-2.688
14,11,C1,0,3.09,0,-463.6354178,-461.3268009,0.00008261,0.00011143,-0.00000743,0,0.047
14,12,C1,0,5.26,0,-463.6365538,-461.3276588,0.0000091,0.00001022,-0.00000074,0,0.005
14,13,C1,0,2.19,0,-463.6378536,-461.3283794,-0.00024055,-0.0000841,0.0000072,0,-0.146
15,1,N1,0,6.62,0,-461.3275684,-461.3275684,0.00000435,0.00000435,-0.00000028,0,0.003
15,2,C1,0,5.19,0,-463.6362882,-461.3271861,0.00000997,0.00001085,-0.00000222,0,0.005
15,3,C1,0,4.8,0,-463.6363439,-461.3272337,-0.00000811,-0.00000628,-0.00000128,0,-0.006
15,4,C1,0,5.64,0,-463.6372463,-461.3280047,-0.0000067,-0.00000573,0.00000041,0,-0.004
15,5,C1,0,5.46,0,-463.6366064,-461.3276429,0.00000143,0.00000243,0.00000051,0,0.001
15,6,C1,0,3.59,0,-463.6354833,-461.3268814,0.00002273,0.00003001,-0.00000274,0,0.013
15,7,C1,0,2.99,0,-463.6355808,-461.3269504,-0.00007525,-0.00005027,0.0000059,0,-0.044
15,8,C1,0,4.17,0,-463.6365987,-461.3276934,-0.00000391,0.00000091,0.00000187,0,-0.001
15,9,C1,0,4.73,0,-463.6366337,-461.327673,-0.00001018,-0.00000785,0.00000262,0,-0.005
15,10,C1,0,2.32,0,-463.6355758,-461.3269102,-0.00008209,-0.00000431,0.00000598,0,-0.048
15,11,C1,0,1.18,0,-463.6398684,-461.3270855,-0.00437121,-0.00018703,0.00008823,0,-2.688
15,12,C1,0,3.09,0,-463.6364758,-461.3275411,0.00008381,0.00011395,-0.00000521,0,0.049
15,13,C1,0,4.66,0,-463.6376191,-461.3282883,-0.0000093,-0.000007,-0.00000011,0,-0.006
15,14,C1,0,2.19,0,-463.6366077,-461.3272847,-0.00018349,-0.00002648,-0.0000189,0,-0.127
16,1,N1,0,8.59,0,-461.3279034,-461.3279034,0.00000095,0.00000095,0.00000019,0,0.001
16,2,N1,0,6.62,0,-461.3275239,-461.3275239,0.00000459,0.00000459,-0.00000016,0,0.003
16,3,C1,0,5.19,0,-463.6368472,-461.3275491,0.000009,0.00000994,-0.00000148,0,0.005
16,4,C1,0,4.8,0,-463.6377673,-461.328336,-0.00000735,-0.00000541,-0.00000045,0,-0.005
16,5,N1,0,7.73,0,-461.3279773,-461.3279773,-0.0000003,-0.0000003,0.00000029,0,0
16,6,C1,0,5.46,0,-463.6360262,-461.3272418,0.00000019,0.00000116,0.00000006,0,0
16,7,C1,0,3.59,0,-463.6360046,-461.3272031,0.00002125,0.00002861,-0.00000236,0,0.012
16,8,C1,0,2.99,0,-463.6371827,-461.328068,-0.00006757,-0.0000421,0.00000255,0,-0.041
16,9,N1,0,7.23,0,-461.3279985,-461.3279985,-0.00000177,-0.00000177,0.00000054,0,-0.001
16,10,C1,0,4.73,0,-463.6360242,-461.3272453,-0.00001009,-0.00000779,0.00000145,0,-0.005
16,11,C1,0,2.32,0,-463.6361042,-461.3272392,-0.00008673,-0.00000919,0.00000565,0,-0.051
16,12,C1,0,1.18,0,-463.6411919,-461.3278845,-0.00411193,0.00010214,0.00002271,0,-2.566
16,13,N1,0,7.19,0,-461.328614,-461.328614,-0.00000106,-0.00000106,-0.00000013,0,-0.001
16,14,C1,0,4.66,0,-463.6369483,-461.3275912,-0.00000373,-0.0000014,-0.00000218,0,-0.004
16,15,C1,0,2.19,0,-463.6371095,-461.3275872,-0.00016822,-0.00001133,-0.00001514,0,-0.115
17,1,C1,0,1.13,0,-463.6408473,-461.3269464,-0.00359015,0.00105045,-0.00006728,0,-2.295
17,2,C1,0,3.2,0,-463.6366794,-461.3276103,-0.00000736,0.00001073,-0.00001137,0,-0.012
17,3,C1,0,5.63,0,-463.6367084,-461.3276494,0.00000128,0.00000204,-0.00000248,0,-0.001
17,4,N1,0,8.08,0,-461.328423,-461.328423,0.00000003,0.00000003,-0.00000051,0,0
17,5,C1,0,1.32,0,-463.6372104,-461.3278148,-0.00022863,0.00025458,-0.00002568,0,-0.16
17,6,C1,0,3.36,0,-463.6359115,-461.3273533,-0.00003154,-0.0000179,0.000002,0,-0.019
17,7,C1,0,5.7,0,-463.6358843,-461.3273281,-0.00000483,-0.00000394,0.00000069,0,-0.003
17,8,N1,0,8.12,0,-461.3281195,-461.3281195,-0.00000116,-0.00000116,0.0000003,0,-0.001
17,9,C1,0,3.24,0,-463.6370033,-461.3280822,-0.00000585,0.00000695,-0.00000223,0,-0.005
17,10,C1,0,4.36,0,-463.6358643,-461.3273235,0.0000034,0.00000649,-0.00000021,0,0.002
17,11,C1,0,6.33,0,-463.6358721,-461.3273231,-0.00000109,-0.00000058,0.00000021,0,-0.001
17,12,N1,0,8.56,0,-461.3280797,-461.3280797,-0.00000057,-0.00000057,0.00000026,0,0
17,13,C1,0,5,0,-463.6379852,-461.3287055,-0.00000146,-0.0000001,-0.00000035,0,-0.001
17,14,C1,0,5.78,0,-463.6367932,-461.3276767,0.00000495,0.00000556,-0.0000002,0,0.003
17,15,N1,0,7.36,0,-461.3276664,-461.3276664,0.00000188,0.00000188,0.00000029,0,0.001
17,16,N1,0,9.35,0,-461.3279996,-461.3279996,0.0000003,0.0000003,0.00000028,0,0
18,1,C1,0,1.86,0,-463.6372169,-461.327862,-0.0005463,-0.00025817,0.00000169,0,-0.342
18,2,C1,0,1.13,0,-463.6396222,-461.3260989,-0.00353662,0.0011291,-0.00007236,0,-2.265
18,3,C1,0,3.2,0,-463.6361321,-461.327249,-0.00000898,0.00000945,-0.00001303,0,-0.014
18,4,C1,0,5.63,0,-463.637028,-461.3280303,-0.00000106,-0.0000003,-0.00000178,0,-0.002
18,5,C1,0,2.65,0,-463.6364797,-461.3277034,-0.00008449,-0.00002694,0.00000062,0,-0.053
18,6,C1,0,1.32,0,-463.6355352,-461.3266998,-0.00024179,0.00024258,-0.00002624,0,-0.168
18,7,C1,0,3.36,0,-463.6353238,-461.3269482,-0.00003092,-0.000017,0.00000168,0,-0.018
18,8,C1,0,5.7,0,-463.6363877,-461.32773,-0.00000558,-0.0000047,0.00000129,0,-0.003
18,9,C1,0,3.88,0,-463.6364267,-461.3277053,-0.00001584,-0.0000091,0.00000083,0,-0.009
18,10,C1,0,3.24,0,-463.6352887,-461.326932,-0.00000758,0.00000502,-0.00000092,0,-0.005
18,11,C1,0,4.36,0,-463.6352802,-461.3269221,0.00000427,0.00000737,-0.00000058,0,0.002
18,12,C1,0,6.33,0,-463.636348,-461.3276867,-0.0000011,-0.00000058,0.00000073,0,0
18,13,C1,0,5.43,0,-463.637403,-461.3283172,-0.00000582,-0.00000478,0.00000022,0,-0.004
18,14,C1,0,5,0,-463.6362126,-461.327289,-0.00000097,0.00000025,-0.00000115,0,-0.001
18,15,C1,0,5.78,0,-463.6362023,-461.3272688,0.000006,0.00000658,-0.0000008,0,0.003
18,16,N1,0,7.36,0,-461.3276049,-461.3276049,0.00000206,0.00000206,0.00000029,0,0.001
18,17,C1,0,2.19,0,-463.6367296,-461.327689,-0.00014741,0.00001035,-0.00002583,0,-0.109
19,1,C1,0,4.25,0,-463.6367311,-461.3276564,-0.00001463,-0.00000988,-0.00000154,0,-0.01
19,2,C1,0,1.86,0,-463.6366671,-461.3275172,-0.00053564,-0.00024652,-0.00000171,0,-0.337
19,3,C1,0,1.13,0,-463.6397081,-461.3261749,-0.00353902,0.00112625,-0.00007599,0,-2.268
19,4,C1,0,3.2,0,-463.6370925,-461.3280741,-0.00001964,-0.00000142,-0.00000771,0,-0.017
19,5,C1,0,4.7,0,-463.6364404,-461.3277158,0.00000073,0.00000331,-0.00000046,0,0
19,6,C1,0,2.65,0,-463.6354169,-461.3270061,-0.00007752,-0.00002097,-0.00000257,0,-0.05
19,7,C1,0,1.32,0,-463.635583,-461.3267337,-0.00024424,0.00024017,-0.00002643,0,-0.17
19,8,C1,0,3.36,0,-463.6364615,-461.3277878,-0.00003349,-0.00001982,0.00000464,0,-0.018
19,9,C1,0,5.69,0,-463.6364553,-461.3277364,0.00000148,0.0000024,-0.00000012,0,0.001
19,10,C1,0,3.88,0,-463.6353458,-461.326992,-0.0000188,-0.00001239,0.00000075,0,-0.011
19,11,C1,0,3.24,0,-463.6353383,-461.3269674,-0.00000788,0.0000047,-0.00000097,0,-0.006
19,12,C1,0,4.36,0,-463.6363885,-461.3277213,0.00000431,0.00000746,0.000001,0,0.003
19,13,N1,0,6.86,0,-461.3283556,-461.3283556,-0.00000052,-0.00000052,0.00000009,0,0
19,14,C1,0,5.43,0,-463.6362656,-461.3273391,-0.00000811,-0.00000713,0.00000008,0,-0.005
19,15,C1,0,5,0,-463.636255,-461.3273175,-0.00000078,0.00000045,-0.00000115,0,-0.001
19,16,C1,0,5.78,0,-463.6367691,-461.3276435,0.00000549,0.0000061,-0.0000003,0,0.003
19,17,C1,0,4.66,0,-463.6366312,-461.3277428,-0.00000311,-0.00000075,-0.00000279,0,-0.004
19,18,C1,0,2.19,0,-463.6362097,-461.3273594,-0.0001681,-0.00001036,-0.00002741,0,-0.123
20,1,N1,0,6.7,0,-461.3283862,-461.3283862,-0.00000165,-0.00000165,-0.00000041,0,-0.001
20,2,C1,0,4.25,0,-463.6370308,-461.32802,-0.00001605,-0.00001122,-0.00000121,0,-0.011
20,3,C1,0,1.86,0,-463.637582,-461.3282799,-0.00052962,-0.00024074,-0.00000317,0,-0.334
20,4,C1,0,1.13,0,-463.6416482,-461.3278465,-0.00369199,0.0009643,-0.00001147,0,-2.324
20,5,N1,0,7.08,0,-461.3284569,-461.3284569,0.00000027,0.00000027,-0.00000012,0,0
20,6,C1,0,4.7,0,-463.6362217,-461.3277197,0.00000095,0.00000351,-0.00000049,0,0
20,7,C1,0,2.65,0,-463.6363015,-461.327734,-0.00007942,-0.00002204,-0.00000165,0,-0.051
20,8,C1,0,1.32,0,-463.6375511,-461.3282613,-0.00023979,0.00024481,-0.00001766,0,-0.162
20,9,N1,0,7.78,0,-461.3284762,-461.3284762,0.00000077,0.00000077,-0.00000009,0,0
20,10,C1,0,5.69,0,-463.6362091,-461.3277156,0.00000126,0.00000214,-0.00000026,0,0.001
20,11,C1,0,3.88,0,-463.6362298,-461.3277197,-0.0000161,-0.00000942,0.00000038,0,-0.01
20,12,C1,0,3.24,0,-463.6372818,-461.3284595,-0.00000563,0.00000739,-0.0000008,0,-0.004
20,13,N1,0,8.8,0,-461.3290927,-461.3290927,0.00000043,0.00000043,0.00000004,0,0
20,14,N1,0,6.86,0,-461.328071,-461.328071,-0.00000095,-0.00000095,0.00000018,0,0
20,15,C1,0,5.43,0,-463.6371442,-461.3280617,-0.00000668,-0.00000563,0.00000019,0,-0.004
20,16,C1,0,5,0,-463.6376589,-461.3283873,-0.000001,0.00000034,-0.00000076,0,-0.001
20,17,N1,0,7.19,0,-461.3284808,-461.3284808,-0.00000066,-0.00000066,-0.00000043,0,-0.001
20,18,C1,0,4.66,0,-463.6369322,-461.3280921,-0.00000733,-0.00000497,-0.0000016,0,-0.006
20,19,C1,0,2.19,0,-463.6371739,-461.3281749,-0.00020306,-0.00004511,-0.00001009,0,-0.134
21,1,C1,0,2.09,0,-463.6372984,-461.3281955,-0.00038915,-0.00018813,0.00001954,0,-0.232
21,2,C1,0,3.95,0,-463.6362944,-461.3275953,0.00002984,0.00003625,-0.00000269,0,0.017
21,3,C1,0,6.12,0,-463.6363559,-461.3276558,0.00000587,0.00000627,-0.00000092,0,0.003
21,4,N1,0,8.44,0,-461.3284326,-461.3284326,0.00000103,0.00000103,-0.00000021,0,0.001
21,5,C1,0,1.13,0,-463.6402335,-461.3270079,-0.00359966,0.00107212,-0.00005108,0,-2.291
21,6,C1,0,3.2,0,-463.6355587,-461.3273551,-0.00002658,-0.00000913,0.00000005,0,-0.017
21,7,C1,0,5.63,0,-463.635534,-461.3273365,-0.00000241,-0.00000173,0.00000037,0,-0.001
21,8,N1,0,8.08,0,-461.3281295,-461.3281295,-0.00000057,-0.00000057,0.00000008,0,0
21,9,C1,0,1.32,0,-463.6368876,-461.327853,-0.00023807,0.00024674,-0.00002375,0,-0.164
21,10,C1,0,3.36,0,-463.6355538,-461.3273613,-0.00003399,-0.00002075,0.0000022,0,-0.02
21,11,C1,0,5.7,0,-463.6355277,-461.3273367,-0.00000451,-0.00000367,0.00000052,0,-0.003
21,12,N1,0,8.12,0,-461.3280906,-461.3280906,-0.00000095,-0.00000095,0.00000014,0,-0.001
21,13,C1,0,3.24,0,-463.6376412,-461.3287083,-0.00000542,0.00000769,-0.00000053,0,-0.004
21,14,C1,0,4.36,0,-463.6364456,-461.3276851,0.00000463,0.00000778,0.00000139,0,0.004
21,15,C1,0,6.33,0,-463.6364481,-461.3276795,-0.00000115,-0.00000064,0.00000086,0,0
21,16,N1,0,8.56,0,-461.3280111,-461.3280111,-0.0000006,-0.0000006,0.00000028,0,0
21,17,C1,0,1.18,0,-463.640909,-461.3279541,-0.00408813,0.00014889,0.00002685,0,-2.548
21,18,C1,0,3.09,0,-463.6361395,-461.3275853,0.00009484,0.00012466,-0.00000932,0,0.054
21,19,C1,0,5.26,0,-463.6362706,-461.3277419,0.00000966,0.00001077,-0.00000121,0,0.005
21,20,N1,0,7.59,0,-461.3284896,-461.3284896,0.00000116,0.00000116,-0.00000019,0,0.001
22,1,C1,0,2.19,0,-463.6358044,-461.3271374,0.0000539,0.0001332,-0.00002626,0,0.017
22,2,C1,0,2.09,0,-463.6356973,-461.3271155,-0.00042413,-0.00022074,0.00002585,0,-0.25
22,3,C1,0,3.95,0,-463.6352823,-461.32689,0.00002857,0.00003517,-0.00000253,0,0.016
22,4,C1,0,6.12,0,-463.6362098,-461.3276915,0.00000485,0.00000523,-0.00000065,0,0.003
22,5,C1,0,1.86,0,-463.6361178,-461.3275872,-0.00053491,-0.000244,-0.00000408,0,-0.338
22,6,C1,0,1.13,0,-463.6379327,-461.3253509,-0.00345158,0.00125825,-0.00010144,0,-2.23
22,7,C1,0,3.2,0,-463.6345029,-461.3266022,-0.00002235,-0.00000425,-0.00000095,0,-0.015
22,8,C1,0,5.63,0,-463.635572,-461.3273936,-0.00000225,-0.00000155,0.00000028,0,-0.001
22,9,C1,0,2.65,0,-463.6356796,-461.3273854,-0.00008108,-0.00002254,-0.00000221,0,-0.052
22,10,C1,0,1.32,0,-463.6347232,-461.3263725,-0.00025446,0.0002312,-0.00002312,0,-0.174
22,11,C1,0,3.36,0,-463.6345047,-461.3266153,-0.00003254,-0.00001907,0.00000144,0,-0.02
22,12,C1,0,5.7,0,-463.6355392,-461.3273566,-0.00000459,-0.00000375,0.00000054,0,-0.003
22,13,C1,0,3.88,0,-463.6366011,-461.3279888,-0.00001627,-0.00000967,0.00000042,0,-0.01
22,14,C1,0,3.24,0,-463.6354058,-461.3269499,-0.00000653,0.00000606,-0.00000074,0,-0.005
22,15,C1,0,4.36,0,-463.6353911,-461.3269341,0.00000487,0.00000796,-0.00000025,0,0.003
22,16,C1,0,6.33,0,-463.6359175,-461.3272743,-0.00000114,-0.00000063,0.00000035,0,0
22,17,C1,0,2.32,0,-463.635862,-461.3273803,-0.00009217,-0.00001421,0.00000706,0,-0.053
22,18,C1,0,1.18,0,-463.6395515,-461.3271359,-0.00436822,-0.00016278,0.0000987,0,-2.679
22,19,C1,0,3.09,0,-463.6351356,-461.3268936,0.00009359,0.00012219,-0.00001068,0,0.052
22,20,C1,0,5.26,0,-463.6361045,-461.3277448,0.00000808,0.00000909,-0.00000105,0,0.004
22,21,C1,0,2.19,0,-463.6356569,-461.3274558,-0.00023495,-0.00007907,0.00001766,0,-0.136
23,1,C1,0,4.34,0,-463.6358652,-461.3272683,-0.00000632,-0.00000271,0.00000009,0,-0.004
23,2,C1,0,2.19,0,-463.6352106,-461.3267474,0.00006314,0.0001424,-0.0000292,0,0.021
23,3,C1,0,2.09,0,-463.635735,-461.3271404,-0.00042359,-0.00022018,0.00002534,0,-0.25
23,4,C1,0,3.95,0,-463.636188,-461.3276583,0.00002716,0.00003348,-0.00000228,0,0.016
23,5,C1,0,4.25,0,-463.6356001,-461.32735,-0.00001666,-0.00001178,0.00000134,0,-0.01
23,6,C1,0,1.86,0,-463.6350092,-461.3268401,-0.00052752,-0.00023588,-0.00000341,0,-0.333
23,7,C1,0,1.13,0,-463.6379367,-461.32534,-0.00345562,0.00125297,-0.00010034,0,-2.231
23,8,C1,0,3.2,0,-463.6355967,-461.3273961,-0.00002641,-0.00000896,-0.00000004,0,-0.017
23,9,C1,0,4.7,0,-463.6356029,-461.3273592,-0.00000379,-0.00000123,0.00000044,0,-0.002
23,10,C1,0,2.65,0,-463.6345425,-461.3266143,-0.00007316,-0.00001555,-0.0000053,0,-0.049
23,11,C1,0,1.32,0,-463.634724,-461.3263569,-0.00025123,0.00023438,-0.00002376,0,-0.173
23,12,C1,0,3.36,0,-463.6355695,-461.327369,-0.0000343,-0.00002109,0.00000238,0,-0.02
23,13,C1,0,5.69,0,-463.6365849,-461.3279728,0.0000005,0.00000132,-0.00000012,0,0
23,14,C1,0,3.88,0,-463.6354205,-461.3269653,-0.00002067,-0.00001428,0.00000122,0,-0.012
23,15,C1,0,3.24,0,-463.6354016,-461.3269295,-0.00000505,0.00000758,-0.00000067,0,-0.004
23,16,C1,0,4.36,0,-463.6359123,-461.327261,0.00000457,0.00000767,0,0,0.003
23,17,C1,0,4.73,0,-463.6357803,-461.3273687,-0.00000992,-0.00000758,0.00000161,0,-0.005
23,18,C1,0,2.32,0,-463.6352705,-461.3269766,-0.00008664,-0.00000841,0.00000744,0,-0.05
23,19,C1,0,1.18,0,-463.6396008,-461.3271752,-0.00437103,-0.00016441,0.0001003,0,-2.68
23,20,C1,0,3.09,0,-463.6360228,-461.3276299,0.00009033,0.00011898,-0.00000965,0,0.051
23,21,C1,0,4.66,0,-463.6354307,-461.3273776,-0.00000816,-0.00000588,0.00000121,0,-0.004
23,22,C1,0,2.19,0,-463.6345987,-461.3267062,-0.00022711,-0.00007129,0.00001763,0,-0.131
