dimer,complex,int_bm,DFT,DFT_ENTVJ,DFT_X,DFT_C,mo1_DFT,mo1_DFT_ENTVJ,mo1_DFT_X,mo1_DFT_C,mo2_DFT,mo2_DFT_ENTVJ,mo2_DFT_X,mo2_DFT_C,int_DFT,int_DFT_X,int_DFT_C,int_HF_X,int_D3,int_DFT_D3
s11,MeNH2-Peptide,-22.7,-344.0811947,-295.87842,-46.306929,-1.895845679,-95.763655,-81.686844,-13.503097,-0.573713999,-248.3121822,-214.199777,-32.795305,-1.31710024,-14.1,-22.4,-13.2,-41.8,-8.4,-22.5
s12,MeNH2-Water,-30.4,-172.1486536,-148.803316,-22.44027,-0.905067603,-95.76381946,-81.687152,-13.503154,-0.573513457,-76.37408613,-67.127229,-8.92063,-0.326227131,-28.2,-43.3,-14,-56.5,-3.6,-31.8
s13,Peptide-MeOH,-25.9,-363.9461005,-314.457489,-47.585482,-1.903129453,-248.3116341,-214.199322,-32.795202,-1.317110105,-115.6271053,-100.266065,-14.779316,-0.581724299,-19.3,-28.8,-11.3,-42.7,-6.2,-25.5
s14,Peptide-MeNH2,-31.2,-344.0856188,-295.882041,-46.307594,-1.895983755,-248.311487,-214.201719,-32.792707,-1.31706095,-95.76421776,-81.68935,-13.501504,-0.573363758,-26,-35.1,-14.6,-48.5,-7.5,-33.5
s15,Peptide-Peptide,-36.1,-496.6354994,-428.39074,-65.60378,-2.640979384,-248.3124497,-214.201688,-32.79314,-1.317621749,-248.3130164,-214.200372,-32.795202,-1.317442356,-26.3,-40.5,-15.5,-60.3,-9.5,-35.8
s16,Peptide-Water,-21.4,-324.6948558,-281.321365,-41.726586,-1.646904847,-248.311911,-214.196581,-32.797406,-1.317923994,-76.3754969,-67.128483,-8.921091,-0.325922897,-19.6,-21.2,-8,-30.8,-3.1,-22.7
s17,Uracil-Uracil_BP,-71.9,-829.0546156,-721.443331,-103.663724,-3.94756061,-414.5150883,-360.732694,-51.813715,-1.968679347,-414.5149881,-360.732329,-51.813888,-1.968771143,-64.4,-94.8,-26.5,-126.6,-9.3,-73.7
s18,Water-Pyridine,-28.7,-324.4359388,-279.595188,-43.126313,-1.71443775,-76.37445518,-67.128182,-8.920135,-0.326138178,-248.0515742,-212.476484,-34.191198,-1.383892205,-26,-39.3,-11.6,-52.7,-3.8,-29.8
s19,MeOH-Pyridine,-31,-363.6887056,-312.735011,-48.982919,-1.970775598,-115.6264994,-100.266004,-14.778297,-0.582198417,-248.0516905,-212.477025,-34.190833,-1.383832458,-27.6,-36.2,-12.5,-50,-5.5,-33.1
s20,AcOH-AcOH,-79.9,-457.8657671,-399.313266,-56.410641,-2.141860089,-228.9179749,-199.672018,-28.181391,-1.064565924,-228.9179767,-199.67208,-28.181336,-1.0645607,-78.3,-125.8,-33.4,-162.8,-7.2,-85.5
s21,AcNH2-AcNH2,-68.1,-418.1224743,-362.121118,-53.878529,-2.122827278,-209.0492592,-181.071465,-26.921341,-1.056453166,-209.049261,-181.071448,-26.921359,-1.056453993,-62.9,-94.1,-26,-121,-7.5,-70.4
s22,AcOH-Uracil,-81.6,-643.4618494,-560.379023,-80.038046,-3.044780438,-228.9179178,-199.672565,-28.180892,-1.064460792,-414.5147078,-360.731685,-51.814193,-1.968829784,-76.7,-112.8,-30.2,-148.8,-8.2,-84.9
s23,AcNH2-Uracil,-80.3,-623.5920204,-541.782768,-78.773469,-3.035783381,-209.049204,-181.06981,-26.92283,-1.056564025,-414.5146579,-360.734841,-51.811145,-1.968671888,-73.9,-103.7,-27.7,-137.2,-8.5,-82.4
s24,Benzene-Benzene_pi-pi,-11.8,-464.0272532,-395.055045,-66.221051,-2.751157206,-232.0146163,-197.532199,-33.10903,-1.373387254,-232.0146157,-197.532197,-33.109032,-1.373386726,5.2,-7.8,-11.5,-23.5,-16.5,-11.3
s25,Pyridine-Pyridine_pi-pi,-16.3,-496.101531,-424.942752,-68.385777,-2.773001974,-248.051174,-212.476773,-34.19047,-1.383931003,-248.0511768,-212.476759,-34.190484,-1.383933766,2.2,-12.7,-13.5,-31.2,-17.6,-15.4
s26,Uracil-Uracil_pi-pi,-41.1,-829.0347344,-721.436854,-103.650922,-3.946958389,-414.5142736,-360.723122,-51.822035,-1.969116565,-414.5142736,-360.723122,-51.822035,-1.969116565,-16.2,-18,-22.9,-55.5,-26.5,-42.7
s27,Benzene-Pyridine_pi-pi,-14.4,-480.0644552,-409.998675,-67.303545,-2.762235237,-232.0146325,-197.533017,-33.108246,-1.373369469,-248.0511682,-212.475794,-34.191353,-1.384021168,3.5,-10.4,-12.7,-28,-17.2,-13.7
s28,Benzene-Uracil_pi-pi,-23.9,-646.5295609,-558.244436,-84.935683,-3.349441898,-232.0146712,-197.533959,-33.107469,-1.3732432,-414.5156812,-360.724691,-51.822127,-1.968863234,2.1,-16,-19.3,-46.4,-22.4,-20.3
s29,Pyridine-Uracil_pi-pi,-28.5,-662.5678048,-573.188344,-86.019382,-3.360078816,-248.0513363,-212.478751,-34.188825,-1.383760291,-414.5155705,-360.723547,-51.823064,-1.968959485,-2.4,-19.7,-19.3,-51.8,-22.1,-24.5
s30,Benzene-Ethene,-6,-310.5126923,-263.845672,-44.795634,-1.871386252,-232.014525,-197.531021,-33.109987,-1.373517046,-78.49944987,-66.320372,-11.684148,-0.494929875,3.4,-3.9,-7.7,-14.1,-9.6,-6.2
s31,Uracil-Ethene,-14.1,-493.0151404,-427.03666,-63.510363,-2.468117362,-414.5152136,-360.722489,-51.823699,-1.969025591,-78.49949798,-66.321969,-11.682688,-0.494840985,-1.1,-10.4,-11.2,-28.3,-11.9,-13.0
s32,Uracil-Ethyne,-15.6,-491.7667271,-426.588181,-62.775666,-2.402880113,-414.5150541,-360.721767,-51.824206,-1.969081072,-77.25016018,-65.872752,-10.947571,-0.429837176,-4,-10.2,-10.4,-28.2,-10.6,-14.6
s33,Pyridine-Ethene,-7.8,-326.5497168,-278.789352,-45.878069,-1.882295802,-248.0510465,-212.474439,-34.192477,-1.384130507,-78.49945186,-66.320819,-11.683722,-0.494910858,2.1,-4.9,-8.5,-16.1,-10.0,-7.9
s34,Pentane-Pentane,-15.8,-395.0773344,-332.339583,-60.0428,-2.694951356,-197.5389912,-166.176049,-30.018604,-1.344338208,-197.5389919,-166.17605,-30.018605,-1.34433686,1.7,-14.7,-16.5,-33.9,-17.2,-15.5
s35,Neopentane-Pentane,-10.9,-395.0798876,-332.347406,-60.035946,-2.696535585,-197.5389724,-166.176127,-30.018471,-1.344374444,-197.541134,-166.180452,-30.012865,-1.347817039,0.6,-12.1,-11.4,-25.3,-11.9,-11.3
s36,Neopentane-Neopentane,-7.4,-395.0821561,-332.354207,-60.029513,-2.698436083,-197.5411106,-166.180484,-30.012848,-1.347778611,-197.5411104,-166.180481,-30.01285,-1.347779352,0.2,-10,-7.6,-18.7,-8.6,-8.4
s37,Cyclopentane-Neopentane,-10.1,-393.8777177,-331.861697,-59.362023,-2.653997656,-196.3368911,-165.690201,-29.344625,-1.302065118,-197.5411317,-166.180797,-30.012561,-1.347773677,0.8,-12.7,-10.9,-25.2,-11.4,-10.6
s38,Cyclopentane-Cyclopentane,-12.5,-392.6735028,-331.370468,-58.693957,-2.609077843,-196.3368397,-165.690039,-29.344595,-1.302205698,-196.3368451,-165.690059,-29.344584,-1.302202085,0.5,-12.5,-12.3,-26.9,-13.2,-12.7
s39,Benzene-Cyclopentane,-15,-428.3511028,-363.21348,-62.456846,-2.680776777,-232.0147037,-197.533399,-33.107969,-1.373335679,-196.3368124,-165.690029,-29.344576,-1.302207377,1.1,-11.3,-13.7,-29.1,-15.6,-14.5
s40,Benzene-Neopentane,-12.1,-429.5556419,-363.705224,-63.125089,-2.725328901,-232.0146235,-197.532816,-33.108465,-1.373342504,-197.5411048,-166.181004,-30.012297,-1.347803771,0.2,-11.4,-11,-25.5,-12.3,-12.1
s41,Uracil-Pentane,-20.3,-612.0542442,-526.890345,-81.843577,-3.320322246,-414.5161065,-360.727929,-51.819557,-1.968620494,-197.5389903,-166.177627,-30.017031,-1.344332286,2.2,-18.3,-19.3,-42.8,-20.1,-17.9
s42,Uracil-Cyclopentane,-17.3,-610.8518208,-526.405492,-81.169514,-3.27681479,-414.5158975,-360.727238,-51.82,-1.968659484,-196.3368525,-165.690858,-29.343891,-1.302103533,2.4,-14.8,-15.9,-34.9,-17.6,-15.2
s43,Uracil-Neopentane,-15.5,-612.0565357,-526.896626,-81.838358,-3.321551726,-414.5156104,-360.725251,-51.82155,-1.968809387,-197.5411043,-166.181545,-30.011777,-1.347782341,0.5,-13.2,-13,-30.1,-14.5,-14.0
s44,Ethene-Pentane,-8.4,-276.0383101,-232.489625,-41.705997,-1.842688068,-78.49941325,-66.320497,-11.68398,-0.494936246,-197.5389134,-166.175603,-30.018931,-1.344379354,0,-8.1,-8.9,-19.1,-8.9,-8.9
s45,Ethyne-Pentane,-7.3,-274.7892185,-232.041665,-40.970642,-1.776911518,-77.25021616,-65.871895,-10.948489,-0.429832162,-197.5388229,-166.174659,-30.019689,-1.344474892,-0.5,-6.5,-6.8,-15.6,-7.7,-8.2
s46,Peptide-Pentane,-17.8,-445.8518219,-380.363826,-62.819639,-2.668356864,-248.3129832,-214.200183,-32.795362,-1.317438198,-197.5389317,-166.176553,-30.017997,-1.344381731,0.2,-16.5,-17.2,-38.3,-16.6,-16.4
s47,Benzene-Benzene_TS,-12,-464.0292912,-395.057028,-66.221694,-2.750569174,-232.0145321,-197.532715,-33.108432,-1.373385101,-232.0144154,-197.532067,-33.108897,-1.373451384,-0.9,-11.5,-9.8,-24.9,-10.8,-11.7
s48,Pyridine-Pyridine_TS,-14.8,-496.1034672,-424.945504,-68.385934,-2.772029182,-248.0513426,-212.477933,-34.18956,-1.383849643,-248.0509298,-212.476522,-34.190406,-1.384001765,-3.1,-15.7,-11,-31.3,-10.9,-14.0
s49,Benzene-Pyridine_TS,-13.9,-480.0664606,-410.000824,-67.304222,-2.761414612,-232.0145414,-197.533251,-33.107923,-1.373367439,-248.0508967,-212.475571,-34.191265,-1.384060658,-2.7,-13.2,-10.5,-28.6,-11.0,-13.7
s50,Benzene-Ethyne_CH-pi,-12,-309.266607,-263.398799,-44.061306,-1.806501979,-232.014416,-197.532505,-33.108496,-1.373414969,-77.25006317,-65.872026,-10.948118,-0.429919169,-5.6,-12.3,-8.3,-24.5,-7.1,-12.7
s51,Ethyne-Ethyne_TS,-6.4,-154.5020549,-131.739774,-21.900987,-0.861293945,-77.25004756,-65.870937,-10.949148,-0.429962556,-77.24998907,-65.871165,-10.948835,-0.429989066,-5.3,-7.9,-3.5,-13.3,-2.6,-7.9
s52,Benzene-AcOH_OH-pi,-19.7,-460.9374867,-397.188359,-61.305878,-2.443249675,-232.0144264,-197.53357,-33.107534,-1.373322434,-228.9193779,-199.666798,-28.187966,-1.064613947,-9.7,-27.2,-14,-44.1,-9.6,-19.3
s53,Benzene-AcNH2_NH-pi,-18.2,-441.0679397,-378.590827,-60.042785,-2.43432773,-232.0144144,-197.533885,-33.107201,-1.373328363,-209.0498974,-181.067057,-26.926358,-1.056482355,-9.5,-24.2,-11.9,-39.1,-8.5,-18.0
s54,Benzene-Water_OH-pi,-13.7,-308.3920878,-264.650922,-42.038074,-1.70309179,-232.0143945,-197.532833,-33.108154,-1.373407455,-76.37472149,-67.125297,-8.923157,-0.326267493,-7.8,-17.8,-9,-30,-6.2,-14.0
s55,Benzene-MeOH_OH-pi,-17.5,-347.6438686,-297.787584,-47.896018,-1.960266563,-232.0145152,-197.533698,-33.107505,-1.373312195,-115.626423,-100.261889,-14.782263,-0.582270954,-7.7,-16.4,-12.3,-33.8,-10.0,-17.7
s56,Benzene-MeNH2_NH-pi,-13.5,-327.7787973,-279.208993,-46.618342,-1.951462298,-232.0145392,-197.53294,-33.108238,-1.3733612,-95.76307143,-81.683422,-13.505663,-0.573986425,-3.1,-11.7,-10.8,-26,-10.3,-13.4
s57,Benzene-Peptide_NH-pi,-22.1,-480.3296223,-411.721404,-65.911478,-2.69674026,-232.0146631,-197.535055,-33.10643,-1.373178104,-248.3122176,-214.197462,-32.797041,-1.317714572,-7.2,-21,-15.4,-40.9,-14.5,-21.7
s58,Pyridine-Pyridine_CH-N,-17.3,-496.1069987,-424.950921,-68.384776,-2.771301726,-248.0515172,-212.479834,-34.187956,-1.383727223,-248.0515173,-212.479834,-34.187956,-1.383727338,-10.4,-23.3,-10.1,-38,-6.3,-16.7
s59,Ethyne-Water_CH-O,-11.9,-153.6293999,-132.995702,-19.875794,-0.757903949,-77.2499758,-65.872497,-10.947525,-0.429953801,-76.37483827,-67.125394,-8.923282,-0.326162269,-12,-13.1,-4.7,-19.7,-1.6,-13.6
s60,Ethyne-AcOH_OH-pi,-20.4,-306.1758807,-265.5299,-39.146722,-1.499258731,-77.25002413,-65.872958,-10.947197,-0.429869131,-228.9192315,-199.666555,-28.188031,-1.064645456,-17.4,-30.2,-12.5,-46,-5.2,-22.6
s61,Pentane-AcOH,-12.2,-426.4583149,-365.832231,-58.212679,-2.413404909,-197.5389193,-166.176394,-30.018213,-1.344312345,-228.9195029,-199.665717,-28.189174,-1.064611904,0.3,-13.9,-11.8,-29,-12.0,-11.7
s62,Pentane-AcNH2,-14.8,-406.5896531,-347.233814,-56.949855,-2.405984078,-197.5389208,-166.176743,-30.017828,-1.344349761,-209.0503044,-181.06777,-26.926225,-1.056309427,-1.1,-15.2,-14,-33.8,-13.2,-14.3
s63,Benzene-AcOH,-15.9,-460.9341821,-397.1869,-61.304305,-2.442977106,-232.0145269,-197.532888,-33.108274,-1.373364882,-228.9189458,-199.663959,-28.190187,-1.064799759,-1.9,-15.3,-12.6,-35.7,-12.8,-14.7
s64,Peptide-Ethene,-12.5,-326.813326,-280.512612,-44.48471,-1.816004022,-248.3124949,-214.198502,-32.796494,-1.317498871,-78.4993592,-66.321133,-11.683282,-0.494944195,-3.9,-13,-9.3,-27.2,-8.5,-12.4
s65,Pyridine-Ethyne,-16.7,-325.3074524,-278.34791,-45.14318,-1.816362429,-248.0516665,-212.477428,-34.190395,-1.3838435,-77.25002638,-65.875118,-10.945065,-0.429843384,-15.1,-20.3,-7,-29.5,-3.6,-18.7
s66,MeNH2-Pyridine,-16.6,-343.8168965,-294.153633,-47.701102,-1.962161536,-95.76300944,-81.684001,-13.505029,-0.573979442,-248.0513351,-212.476871,-34.190547,-1.38391706,-6.7,-14.5,-11.2,-30.5,-9.4,-16.1
