I,J,K,DL,RMIN,RMAX,"E""corr","deltaE""IJK",corr/uncorr,dDIJK*VIJK,Gsol,tot
12,11,8,C1,1.18,2.19,-695.458205,0.00000226,0.00000531,-0.00000586,0,-0.002
12,11,10,C1,2.19,2.19,-695.453401,-0.00000188,-0.00000224,0.00000261,0,0
13,9,5,C1,1.18,1.18,-695.4644014,-0.00001248,-0.00000206,0.00000313,0,-0.006
13,10,9,C1,1.18,2.19,-695.4593641,0.00000189,0.00000493,-0.00000537,0,-0.002
14,9,5,C1,1.18,2.32,-695.4590985,0.00000004,0.00000004,0.00000002,0,0
14,10,5,C1,1.18,2.32,-695.4583438,0.00000011,0.00000023,-0.00000027,0,0
14,10,6,C1,1.18,1.18,-695.4615034,-0.0000125,-0.00000144,0.00000291,0,-0.006
14,10,9,C1,1.18,2.19,-695.4586209,-0.00000506,-0.00000448,0.00000457,0,0
14,11,10,C1,1.18,2.19,-695.4573023,0.00000182,0.00000489,-0.0000053,0,-0.002
14,13,9,C1,1.18,2.19,-695.460438,-0.00000827,-0.00000808,0.00000914,0,0.001
14,13,10,C1,1.18,2.19,-695.4594291,0.0000024,0.00000528,-0.000006,0,-0.002
15,10,5,C1,2.32,2.32,-695.4540754,-0.00000012,-0.00000013,0.00000017,0,0
15,10,6,C1,1.18,2.32,-695.4570991,0.00000006,0.00000004,0,0,0
15,10,9,C1,2.19,2.32,-695.4542582,0.00000011,0.00000013,-0.0000001,0,0
15,11,6,C1,1.18,2.32,-695.4572488,0.00000021,0.00000036,-0.00000039,0,0
15,11,7,C1,1.18,1.18,-695.461503,-0.00001245,-0.00000146,0.00000284,0,-0.006
15,11,10,C1,1.18,2.19,-695.4574697,-0.00000502,-0.00000458,0.00000461,0,0
15,12,11,C1,1.18,2.19,-695.4583731,0.00000152,0.00000437,-0.0000048,0,-0.002
15,14,9,C1,2.19,2.32,-695.4551053,0.00000019,0.00000022,-0.00000017,0,0
15,14,10,C1,1.18,2.19,-695.4583541,-0.00000906,-0.00000895,0.00001033,0,0.001
15,14,11,C1,1.18,2.19,-695.4581809,0.00000214,0.00000487,-0.00000553,0,-0.002
15,14,13,C1,2.19,2.19,-695.4562589,-0.00000198,-0.00000235,0.00000265,0,0
16,11,6,C1,2.32,2.32,-695.4535075,-0.0000001,-0.00000012,0.00000015,0,0
16,11,7,C1,1.18,2.32,-695.4576299,0.00000005,0.00000007,0.00000001,0,0
16,11,10,C1,2.19,2.32,-695.4536285,0.00000007,0.00000007,-0.00000002,0,0
16,12,7,C1,1.18,2.32,-695.4585728,0.00000029,0.00000048,-0.00000046,0,0
16,12,8,C1,1.18,1.18,-695.463682,-0.00001266,-0.00000136,0.00000276,0,-0.006
16,12,11,C1,1.18,2.19,-695.4588125,-0.00000632,-0.00000597,0.00000655,0,0
16,15,10,C1,2.19,2.32,-695.4544847,0.00000029,0.00000033,-0.00000034,0,0
16,15,11,C1,1.18,2.19,-695.4588628,-0.00000864,-0.00000837,0.00000969,0,0.001
16,15,12,C1,1.18,2.19,-695.4594862,0.00000057,0.00000311,-0.00000345,0,-0.002
16,15,14,C1,2.19,2.19,-695.455512,-0.00000151,-0.00000182,0.00000197,0,0
17,2,1,C1,1.13,2.19,-695.459089,-0.00000071,0.00000046,-0.0000006,0,-0.001
17,5,1,C1,1.13,1.18,-695.4635221,0.000034,0.00005198,0.00002494,0,0.037
17,6,1,C1,1.13,2.32,-695.4582625,-0.00000065,-0.0000002,0.00000018,0,0
17,6,5,C1,1.32,2.19,-695.4547919,0.00000083,0.000001,-0.00000111,0,0
17,9,5,C1,1.18,1.32,-695.4596537,0.00000145,0.00000256,-0.00000266,0,-0.001
17,10,5,C1,1.32,2.32,-695.4545938,0.00000003,0.00000005,-0.00000005,0,0
18,2,1,C1,1.13,1.86,-695.4590097,-0.00002253,-0.00001406,0.00001348,0,-0.006
18,3,2,C1,1.13,2.19,-695.4579224,-0.00000115,-0.00000006,-0.00000004,0,-0.001
18,5,1,C1,1.18,1.86,-695.4597863,-0.00000469,-0.00000176,0.00000175,0,-0.002
18,6,1,C1,1.32,1.86,-695.4548418,-0.00000009,0.00000027,-0.00000075,0,-0.001
18,6,2,C1,1.13,1.18,-695.4614926,0.00003922,0.00005689,0.00001416,0,0.033
18,6,5,C1,1.32,2.19,-695.4542736,-0.00000137,-0.00000153,0.00000163,0,0
18,7,2,C1,1.13,2.32,-695.4570314,-0.00000076,-0.00000032,0.00000036,0,0
18,7,6,C1,1.32,2.19,-695.4530903,0.00000137,0.00000162,-0.0000019,0,0
18,10,6,C1,1.18,1.32,-695.4570755,0.00000107,0.0000023,-0.0000024,0,-0.001
18,11,6,C1,1.32,2.32,-695.4529254,-0.00000005,-0.00000004,0.00000005,0,0
18,17,1,C1,1.13,1.86,-695.4595533,-0.00001445,-0.00000633,0.00000079,0,-0.009
18,17,2,C1,1.13,2.19,-695.4583579,0.00000341,0.00000569,-0.00000697,0,-0.002
18,17,5,C1,1.32,2.19,-695.4554419,-0.00000175,-0.00000196,0.00000216,0,0
18,17,6,C1,1.32,2.19,-695.4542973,0.00000119,0.00000144,-0.00000172,0,0
19,2,1,C1,1.86,2.19,-695.4555003,0.00000008,0.0000001,-0.0000002,0,0
19,3,2,C1,1.13,1.86,-695.4585188,-0.00002251,-0.00001393,0.00001347,0,-0.006
19,4,3,C1,1.13,2.19,-695.4589544,-0.00000107,0.0000001,-0.00000029,0,-0.001
19,6,2,C1,1.18,1.86,-695.4584171,-0.00000466,-0.00000171,0.00000181,0,-0.002
19,7,2,C1,1.32,1.86,-695.4542888,0.00000001,0.00000038,-0.00000088,0,-0.001
19,7,3,C1,1.13,1.18,-695.4615823,0.00003963,0.00005739,0.00001332,0,0.033
19,7,6,C1,1.32,2.19,-695.4531883,-0.00000159,-0.00000177,0.0000019,0,0
19,8,3,C1,1.13,2.32,-695.458211,-0.00000051,0.00000003,-0.00000011,0,0
19,8,7,C1,1.32,2.19,-695.454234,0.00000096,0.00000116,-0.00000135,0,0
19,11,7,C1,1.18,1.32,-695.4571286,0.00000089,0.00000208,-0.00000215,0,-0.001
19,12,7,C1,1.32,2.32,-695.4540354,-0.00000017,-0.00000018,0.00000021,0,0
19,18,1,C1,1.86,2.19,-695.4554435,-0.00000009,-0.00000003,0,0,0
19,18,2,C1,1.13,1.86,-695.4583836,-0.000014,-0.00000589,0.00000002,0,-0.009
19,18,3,C1,1.13,2.19,-695.4578793,0.00000368,0.00000586,-0.00000745,0,-0.002
19,18,6,C1,1.32,2.19,-695.4538261,-0.00000155,-0.00000173,0.00000182,0,0
19,18,7,C1,1.32,2.19,-695.4537783,0.00000154,0.00000183,-0.00000222,0,0
19,18,17,C1,2.19,2.19,-695.4549462,-0.00000165,-0.00000199,0.00000213,0,0
20,3,2,C1,1.86,2.19,-695.4558503,0.00000025,0.00000027,-0.00000045,0,0
20,4,3,C1,1.13,1.86,-695.4605202,-0.00002061,-0.00001197,0.00001044,0,-0.006
20,7,3,C1,1.18,1.86,-695.4593361,-0.00000508,-0.00000225,0.0000025,0,-0.002
20,8,3,C1,1.32,1.86,-695.4562907,0,0.00000036,-0.00000085,0,-0.001
20,8,4,C1,1.13,1.18,-695.4643283,0.00003979,0.00005635,0.00000707,0,0.029
20,8,7,C1,1.32,2.19,-695.4551612,-0.00000137,-0.00000151,0.00000159,0,0
20,12,8,C1,1.18,1.32,-695.4599298,0.00000173,0.00000335,-0.00000372,0,-0.001
20,19,2,C1,1.86,2.19,-695.4558136,-0.00000032,-0.00000032,0.00000034,0,0
20,19,3,C1,1.13,1.86,-695.4593821,-0.00001429,-0.00000625,0.00000072,0,-0.009
20,19,4,C1,1.13,2.19,-695.4599123,0.00000235,0.0000044,-0.00000539,0,-0.002
20,19,7,C1,1.32,2.19,-695.4547941,-0.00000152,-0.00000171,0.00000182,0,0
20,19,8,C1,1.32,2.19,-695.4558308,0.00000064,0.00000081,-0.00000079,0,0
20,19,18,C1,2.19,2.19,-695.4553491,-0.00000199,-0.00000238,0.00000262,0,0
21,2,1,C1,2.09,2.19,-695.4555008,0.00000134,0.00000164,-0.00000181,0,0
21,5,1,C1,1.13,1.18,-695.4634385,-0.0000603,-0.00000177,0.00001659,0,-0.027
21,6,1,C1,2.09,2.32,-695.4547082,-0.00000024,-0.00000022,0.00000023,0,0
21,6,5,C1,1.13,2.19,-695.4578102,0.0000007,0.00000233,-0.0000027,0,-0.001
21,9,1,C1,1.32,2.09,-695.4560147,0.00000042,0.0000006,-0.0000006,0,0
21,9,5,C1,1.13,1.18,-695.462872,0.00003852,0.00005661,0.00001137,0,0.031
21,10,5,C1,1.13,2.32,-695.4576551,-0.00000079,-0.00000034,0.00000033,0,0
21,10,9,C1,1.32,2.19,-695.4544636,0.00000051,0.00000063,-0.00000064,0,0
21,13,9,C1,1.18,1.32,-695.4603803,0.00000053,0.0000015,-0.00000145,0,-0.001
21,14,9,C1,1.32,2.32,-695.4551711,0.00000018,0.00000022,-0.00000022,0,0
21,17,1,C1,1.13,1.18,-695.4636138,-0.00005277,0.0000078,0.00000324,0,-0.031
21,17,5,C1,1.13,1.18,-695.4630923,0.00004233,0.00006118,0.00000115,0,0.027
21,17,9,C1,1.18,1.32,-695.4595669,-0.00000092,0.0000007,-0.00000014,0,-0.001
21,18,1,C1,1.86,2.09,-695.4557483,-0.00000058,-0.00000033,0.00000031,0,0
21,18,17,C1,1.18,2.19,-695.4589585,0.00000088,0.0000035,-0.00000401,0,-0.002
22,2,1,C1,2.09,2.19,-695.4544675,-0.00000536,-0.00000628,0.00000735,0,0.001
22,3,2,C1,2.09,2.19,-695.4539577,0.00000124,0.00000152,-0.00000165,0,0
22,5,1,C1,1.18,1.86,-695.4588202,-0.00000071,0.00000052,-0.00000023,0,-0.001
22,5,2,C1,1.86,2.09,-695.4545421,-0.0000016,-0.0000015,0.0000018,0,0
22,6,1,C1,1.13,2.19,-695.4566408,-0.00000185,-0.00000124,0.00000205,0,0
22,6,2,C1,1.13,1.18,-695.4608749,-0.00005812,0.00000013,0.00001151,0,-0.029
22,6,5,C1,1.13,1.86,-695.4571409,-0.00002074,-0.00001279,0.00001008,0,-0.007
22,7,2,C1,2.09,2.32,-695.4530975,-0.00000027,-0.00000027,0.0000003,0,0
22,7,6,C1,1.13,2.19,-695.4554793,0.00000126,0.00000292,-0.00000347,0,-0.001
22,9,5,C1,1.18,1.86,-695.4586446,-0.00000685,-0.00000394,0.0000047,0,-0.001
22,10,1,C1,1.32,2.19,-695.4533239,-0.0000004,-0.00000039,0.00000051,0,0
22,10,2,C1,1.32,2.09,-695.4533108,0.00000046,0.00000061,-0.0000007,0,0
22,10,5,C1,1.32,1.86,-695.453759,0.00000006,0.00000043,-0.00000085,0,0
22,10,6,C1,1.13,1.18,-695.4596797,0.00004123,0.00006004,0.00000789,0,0.031
22,10,9,C1,1.32,2.19,-695.4534779,-0.00000125,-0.0000014,0.00000149,0,0
22,11,6,C1,1.13,2.32,-695.4553608,-0.00000116,-0.00000075,0.00000084,0,0
22,11,10,C1,1.32,2.19,-695.4522722,0.00000121,0.00000144,-0.00000166,0,0
22,14,10,C1,1.18,1.32,-695.4573164,-0.00000083,0.00000029,-0.00000002,0,-0.001
22,15,10,C1,1.32,2.32,-695.4530108,0.00000015,0.00000017,-0.00000021,0,0
22,17,1,C1,1.13,2.19,-695.4580714,-0.00000039,0.0000003,-0.00000032,0,0
22,17,2,C1,2.09,2.32,-695.4543815,-0.0000003,-0.00000026,0.0000004,0,0
22,17,5,C1,1.32,1.86,-695.4550229,0.00000009,0.00000047,-0.00000097,0,-0.001
22,17,6,C1,1.13,2.32,-695.4566423,-0.00000158,-0.00000104,0.00000123,0,0
22,17,10,C1,1.32,2.32,-695.4533964,0,0.00000001,-0.00000004,0,0
22,18,1,C1,1.18,1.86,-695.4587201,-0.00000336,-0.0000026,0.00000382,0,0
22,18,2,C1,1.13,1.18,-695.4616574,-0.00005743,0.00000096,0.00001224,0,-0.028
22,18,5,C1,1.18,1.86,-695.4585753,-0.00000701,-0.00000419,0.00000495,0,-0.001
22,18,6,C1,1.13,1.18,-695.4604972,0.00004333,0.0000634,0.0000014,0,0.028
22,18,10,C1,1.18,1.32,-695.4570984,-0.00000154,-0.00000033,0.00000084,0,0
22,18,17,C1,1.18,2.19,-695.4583849,-0.00000944,-0.00000931,0.00001081,0,0.001
22,19,2,C1,1.86,2.09,-695.454184,-0.00000085,-0.00000062,0.00000068,0,0
22,19,18,C1,1.18,2.19,-695.4576675,0.00000231,0.00000513,-0.00000589,0,-0.002
22,21,1,C1,2.09,2.19,-695.4546703,-0.00000534,-0.00000623,0.00000728,0,0.001
22,21,2,C1,2.09,2.19,-695.4541374,0.00000153,0.00000187,-0.00000204,0,0
22,21,5,C1,1.13,1.86,-695.4582062,-0.00001736,-0.0000089,0.00000473,0,-0.008
22,21,6,C1,1.13,2.19,-695.4564287,0.00000193,0.00000406,-0.0000048,0,-0.002
22,21,9,C1,1.32,2.19,-695.4543908,-0.00000172,-0.00000191,0.00000208,0,0
22,21,10,C1,1.32,2.19,-695.4532279,0.0000008,0.000001,-0.00000115,0,0
22,21,17,C1,1.18,2.19,-695.4584277,-0.0000061,-0.00000565,0.00000611,0,0
22,21,18,C1,1.18,2.19,-695.4579259,0.00000227,0.00000529,-0.00000602,0,-0.002
23,2,1,C1,2.19,2.19,-695.454034,0.00000162,0.00000184,-0.00000222,0,0
23,3,2,C1,2.09,2.19,-695.4539298,-0.00000546,-0.00000639,0.00000749,0,0.001
23,4,3,C1,2.09,2.19,-695.4549321,0.00000133,0.00000163,-0.00000178,0,0
23,6,1,C1,1.86,2.32,-695.4537761,-0.00000044,-0.00000048,0.00000059,0,0
23,6,2,C1,1.18,1.86,-695.4574078,-0.00000181,-0.00000077,0.00000143,0,0
23,6,3,C1,1.86,2.09,-695.453469,-0.00000134,-0.0000012,0.00000145,0,0
23,6,5,C1,1.86,2.19,-695.4536786,-0.00000017,-0.00000017,0.00000022,0,0
23,7,2,C1,1.13,2.19,-695.4560456,-0.0000018,-0.0000012,0.00000197,0,0
23,7,3,C1,1.13,1.18,-695.4609182,-0.00005802,0.00000027,0.00001154,0,-0.029
23,7,6,C1,1.13,1.86,-695.4560104,-0.00002001,-0.000012,0.00000872,0,-0.007
23,8,3,C1,2.09,2.32,-695.4542305,-0.00000016,-0.00000014,0.00000014,0,0
23,8,7,C1,1.13,2.19,-695.4565802,0.00000138,0.00000324,-0.00000383,0,-0.002
23,10,6,C1,1.18,1.86,-695.4566226,-0.0000065,-0.00000344,0.00000419,0,-0.001
23,11,2,C1,1.32,2.19,-695.4527274,-0.00000035,-0.00000035,0.00000046,0,0
23,11,3,C1,1.32,2.09,-695.4533489,0.00000046,0.00000061,-0.0000007,0,0
23,11,6,C1,1.32,1.86,-695.4526545,0.00000029,0.00000068,-0.00000118,0,-0.001
23,11,7,C1,1.13,1.18,-695.4596846,0.0000419,0.00006078,0.00000615,0,0.03
23,11,10,C1,1.32,2.19,-695.4523129,-0.00000149,-0.00000167,0.0000018,0,0
23,12,7,C1,1.13,2.32,-695.4564285,-0.00000103,-0.00000053,0.00000058,0,0
23,12,11,C1,1.32,2.19,-695.4533475,0.00000081,0.00000099,-0.00000112,0,0
23,15,11,C1,1.18,1.32,-695.4573116,-0.00000096,0.00000014,0.00000015,0,-0.001
23,16,11,C1,1.32,2.32,-695.4535369,0.00000008,0.0000001,-0.00000012,0,0
23,18,1,C1,1.86,2.32,-695.4544964,-0.00000043,-0.00000046,0.00000056,0,0
23,18,2,C1,1.13,2.19,-695.4568318,-0.00000005,0.0000007,-0.0000009,0,-0.001
23,18,3,C1,2.09,2.32,-695.4538288,-0.0000004,-0.00000037,0.00000053,0,0
23,18,6,C1,1.32,1.86,-695.4533354,0,0.00000038,-0.00000081,0,-0.001
23,18,7,C1,1.13,2.32,-695.4560538,-0.0000017,-0.00000122,0.00000144,0,0
23,18,11,C1,1.32,2.32,-695.4528041,0.00000008,0.0000001,-0.00000015,0,0
23,18,17,C1,2.19,2.32,-695.454012,0.00000027,0.00000031,-0.00000031,0,0
23,19,2,C1,1.18,1.86,-695.4581648,-0.00000375,-0.00000312,0.00000448,0,0
23,19,3,C1,1.13,1.18,-695.4617463,-0.00005751,0.00000086,0.00001223,0,-0.028
23,19,6,C1,1.18,1.86,-695.4575081,-0.00000664,-0.00000362,0.00000434,0,-0.001
23,19,7,C1,1.13,1.18,-695.4605527,0.00004304,0.0000631,0.00000243,0,0.029
23,19,11,C1,1.18,1.32,-695.457148,-0.00000134,-0.00000012,0.00000059,0,0
23,19,18,C1,1.18,2.19,-695.4578632,-0.00000979,-0.0000098,0.00001138,0,0.001
23,20,3,C1,1.86,2.09,-695.4551024,-0.00000105,-0.00000087,0.00000097,0,0
23,20,19,C1,1.18,2.19,-695.4586384,0.00000217,0.00000502,-0.00000573,0,-0.002
23,22,1,C1,2.19,2.19,-695.4532223,0.00000155,0.00000177,-0.00000212,0,0
23,22,2,C1,2.09,2.19,-695.4530525,-0.00000519,-0.00000605,0.00000707,0,0.001
23,22,3,C1,2.09,2.19,-695.4531175,0.00000154,0.00000186,-0.00000204,0,0
23,22,5,C1,1.86,2.19,-695.4535472,0.00000038,0.00000045,-0.00000059,0,0
23,22,6,C1,1.13,1.86,-695.4558922,-0.00001889,-0.00001057,0.00000701,0,-0.007
23,22,7,C1,1.13,2.19,-695.4553698,0.00000188,0.00000378,-0.00000454,0,-0.002
23,22,10,C1,1.32,2.19,-695.4522112,-0.00000165,-0.00000185,0.00000201,0,0
23,22,11,C1,1.32,2.19,-695.4521679,0.00000122,0.00000145,-0.0000017,0,0
23,22,17,C1,2.19,2.32,-695.453285,0.00000007,0.00000007,-0.00000001,0,0
23,22,18,C1,1.18,2.19,-695.4570562,-0.0000049,-0.00000438,0.00000433,0,0
23,22,19,C1,1.18,2.19,-695.4569174,0.00000242,0.00000561,-0.00000625,0,-0.002
23,22,21,C1,2.19,2.19,-695.4530803,-0.00000209,-0.00000248,0.00000292,0,0.001
24,3,2,C1,2.19,2.19,-695.4545567,0.00000177,0.00000202,-0.00000246,0,0
24,4,3,C1,2.09,2.19,-695.4559205,-0.00000568,-0.00000664,0.00000778,0,0.001
24,7,2,C1,1.86,2.32,-695.4542489,-0.0000005,-0.00000055,0.00000063,0,0
24,7,3,C1,1.18,1.86,-695.458506,-0.00000143,-0.00000021,0.00000099,0,0
24,7,4,C1,1.86,2.09,-695.4554057,-0.00000107,-0.0000009,0.00000108,0,0
24,7,6,C1,1.86,2.19,-695.4536141,0.00000033,0.0000004,-0.00000051,0,0
24,8,3,C1,1.13,2.19,-695.4583596,-0.00000122,-0.00000064,0.00000103,0,0
24,8,4,C1,1.13,1.18,-695.4637822,-0.00005196,0.00000845,0.00000002,0,-0.033
24,8,7,C1,1.13,1.86,-695.4582989,-0.00001863,-0.00001044,0.00000677,0,-0.007
24,11,7,C1,1.18,1.86,-695.4576956,-0.00000705,-0.00000436,0.00000522,0,-0.001
24,12,3,C1,1.32,2.19,-695.4548662,0.00000001,0.00000006,-0.00000013,0,0
24,12,4,C1,1.32,2.09,-695.4563156,0.00000037,0.00000047,-0.00000066,0,0
24,12,7,C1,1.32,1.86,-695.4547686,0.00000048,0.00000088,-0.00000151,0,-0.001
24,12,8,C1,1.13,1.18,-695.4627904,0.00004076,0.00005817,0.00000757,0,0.03
24,12,11,C1,1.32,2.19,-695.4544388,-0.00000176,-0.00000197,0.00000215,0,0
24,16,12,C1,1.18,1.32,-695.4596795,-0.00000006,0.00000162,-0.0000013,0,-0.001
24,19,2,C1,1.86,2.32,-695.455004,-0.00000045,-0.00000048,0.00000061,0,0
24,19,3,C1,1.13,2.19,-695.4579709,0.00000014,0.00000089,-0.00000134,0,-0.001
24,19,4,C1,2.09,2.32,-695.4558124,-0.00000014,-0.00000009,0.00000013,0,0
24,19,7,C1,1.32,1.86,-695.4544486,-0.00000011,0.00000025,-0.00000065,0,0
24,19,8,C1,1.13,2.32,-695.4583827,-0.00000118,-0.00000064,0.00000065,0,0
24,19,12,C1,1.32,2.32,-695.4549593,0.00000014,0.00000017,-0.00000019,0,0
24,19,18,C1,2.19,2.32,-695.4545512,0.00000017,0.0000002,-0.00000013,0,0
24,20,3,C1,1.18,1.86,-695.4598457,-0.00000342,-0.00000277,0.0000041,0,0
24,20,4,C1,1.13,1.18,-695.4644244,-0.00005908,-0.0000005,0.00001474,0,-0.028
24,20,7,C1,1.18,1.86,-695.4591714,-0.00000696,-0.00000409,0.00000484,0,-0.001
24,20,8,C1,1.13,1.18,-695.463429,0.0000395,0.00005848,0.00000941,0,0.031
24,20,12,C1,1.18,1.32,-695.45985,0.00000006,0.00000108,-0.0000011,0,-0.001
24,20,19,C1,1.18,2.19,-695.4596007,-0.00001063,-0.0000107,0.00001271,0,0.001
24,23,2,C1,2.19,2.19,-695.4536894,0.00000152,0.00000175,-0.00000208,0,0
24,23,3,C1,2.09,2.19,-695.4541468,-0.00000516,-0.00000603,0.00000702,0,0.001
24,23,4,C1,2.09,2.19,-695.4550499,0.00000167,0.00000201,-0.00000223,0,0
24,23,6,C1,1.86,2.19,-695.4534994,0.00000011,0.00000015,-0.00000019,0,0
24,23,7,C1,1.13,1.86,-695.4569655,-0.00001948,-0.00001144,0.00000801,0,-0.007
24,23,8,C1,1.13,2.19,-695.4576593,0.00000123,0.00000309,-0.00000366,0,-0.002
24,23,11,C1,1.32,2.19,-695.453277,-0.00000105,-0.0000012,0.00000124,0,0
24,23,12,C1,1.32,2.19,-695.4542836,0.00000049,0.00000059,-0.00000061,0,0
24,23,18,C1,2.19,2.32,-695.4537559,0.00000007,0.00000007,-0.00000003,0,0
24,23,19,C1,1.18,2.19,-695.4581683,-0.00000486,-0.00000416,0.00000431,0,0
24,23,20,C1,1.18,2.19,-695.4585807,0.00000203,0.00000513,-0.00000557,0,-0.002
24,23,22,C1,2.19,2.19,-695.4530836,-0.00000205,-0.00000244,0.00000287,0,0.001
25,5,1,C1,1.18,2.09,-695.4598078,-0.00000271,-0.00000238,0.00000245,0,0
25,6,5,C1,2.09,2.19,-695.4545299,0.00000227,0.0000027,-0.00000314,0,-0.001
25,9,5,C1,1.13,1.18,-695.4631072,-0.00006084,-0.00000218,0.00001893,0,-0.026
25,10,5,C1,2.09,2.32,-695.4544207,-0.00000022,-0.0000002,0.00000019,0,0
25,10,9,C1,1.13,2.19,-695.4578304,0.00000073,0.00000237,-0.00000275,0,-0.001
25,13,5,C1,1.32,2.09,-695.4567032,0.00000004,0.00000014,-0.00000016,0,0
25,13,9,C1,1.13,1.18,-695.4639435,0.00003849,0.00005719,0.00001197,0,0.032
25,14,9,C1,1.13,2.32,-695.4585862,-0.00000102,-0.00000055,0.00000055,0,0
25,14,13,C1,1.32,2.19,-695.4563686,0.00000056,0.00000071,-0.00000065,0,0
25,17,5,C1,1.32,2.09,-695.4558862,0.00000033,0.00000042,-0.00000054,0,0
25,21,1,C1,1.18,2.09,-695.4596121,-0.0000027,-0.00000184,0.00000209,0,0
25,21,5,C1,1.13,1.18,-695.4629157,-0.0000526,0.00000863,-0.00000003,0,-0.033
